# time e1bpip e2bpip e3bpip e4bpip edisp ebuck eele etot
27400 353.5172854037694492 2637.2129754591014716 50.59084868432994142 0 0 0 -3747.5135469228057445 -2339.8229334472162009
27450 321.37738141376939893 2655.6339135092398465 65.207492757723926502 0 0 0 -3768.8895365308908367 -2370.2705503472852797
27500 301.17111427171090554 2771.2432108270199933 62.166348709760526958 0 0 0 -3858.5345968164156147 -2414.8282396247909674
27550 313.48804880563585584 2962.48223951448972 65.814773141744154827 0 0 0 -3999.542846925163758 -2417.0339417754744318
27600 269.87958793364856547 2747.6063259673946959 62.273031097809059986 0 0 0 -3847.1692711606965531 -2450.4562384938590185
27650 335.86896143870740161 2806.0013865987907593 64.781899362313026813 0 0 0 -3911.9883880230186151 -2411.3345862908436175
27700 296.26058169467199832 2754.57193339090054 62.929983031640631452 0 0 0 -3838.8508720706495296 -2406.0088429276120223
27750 311.44861906752964842 2668.1091532505897703 55.394766669247552215 0 0 0 -3784.9137029268049446 -2403.705405799259097
27800 312.84679536668841138 2708.9036846549824986 71.400212134368871375 0 0 0 -3797.9017001093016006 -2373.0456819096525578
27850 320.98467944581682332 2726.2400126055686087 65.137355432766938179 0 0 0 -3840.9462935606816245 -2402.5681464181761839
27900 294.5816780810880573 2798.327679602295575 69.416962184125708291 0 0 0 -3903.2465816747371719 -2437.2831763655999566
27950 319.58743362861559945 2810.9632146885996917 69.781859218311382165 0 0 0 -3918.7246262802118508 -2420.236999227402066
28000 324.34898669659827419 2738.4948391656853346 85.96251150337897684 0 0 0 -3898.774729789367484 -2427.8968403755966392
28050 306.54305266829095444 2729.5671762753258918 84.632562668633909198 0 0 0 -3840.2042676398973526 -2396.7988443329177244
28100 312.64005508840239145 2722.4554618481743091 90.911244467931084046 0 0 0 -3816.9211440707945258 -2361.2553926328682792
28150 321.06923787125811032 2776.0493709843608485 62.548205455931167762 0 0 0 -3858.5866621189902617 -2394.5580197953213428
28200 313.28592214960400497 2867.5289631360446947 84.006025612542941872 0 0 0 -3933.1067060605446386 -2400.2310122779581434
28250 296.93010143399135359 2747.4186763590864757 89.119570880083472275 0 0 0 -3867.6393342948367717 -2424.8189559179027128
28300 287.16473470814378288 2629.5810460251200311 79.61596765919185259 0 0 0 -3774.5478236641029071 -2425.4045428185941091
28350 320.56299767341897677 2667.7907269401994199 80.933082228268190761 0 0 0 -3823.1270075828006156 -2422.891294284907417
28400 312.40993651279973164 2816.1146465514148076 75.210536343124886116 0 0 0 -3908.3626887193167931 -2429.8253935744578484
28450 310.92863393811239803 2870.7222112191093402 68.351314504545911177 0 0 0 -3926.7722781899988149 -2425.0602440692332493
28500 310.0678762116803 2778.2687179541489968 66.344577500629696942 0 0 0 -3872.5517178892851007 -2437.9782682470777218
28550 304.50880385481707435 2792.5553777637933308 60.540258326585217219 0 0 0 -3850.3597964418872834 -2420.7664285367618504
28600 302.07887791022642432 2689.7045753520824292 57.127101137789438212 0 0 0 -3776.5056449338835591 -2414.903407336064447
28650 306.55528364540015218 2683.5590702447352669 58.979164469708990737 0 0 0 -3772.9959799385142105 -2405.658976307508965
28700 322.26651861266094556 2706.4485502363822889 77.845821888732174898 0 0 0 -3826.144552212628696 -2410.9882868824779507
28750 311.56489306772732562 2813.8053333986881626 64.902460115762522719 0 0 0 -3864.420332930614677 -2402.5168862060872925
28800 317.80009827671722178 2746.5926366637422689 77.230649845095470596 0 0 0 -3870.5938476151386567 -2435.6267954119666683
28850 323.38091016708494863 2773.1397014117801518 80.32783786151352956 0 0 0 -3905.9906550450277791 -2437.9233029214415183
28900 310.75122478747215382 2806.3790589423260826 75.000558795579635785 0 0 0 -3907.7829114688365735 -2436.4289025072084769
28950 284.46395828249626447 2764.6526389789778477 71.089034463468792069 0 0 0 -3856.570548906820477 -2436.4021571981593297
29000 343.12047579902935013 2700.4178668268987167 73.653144907335743596 0 0 0 -3841.9722000742135606 -2408.3082208139021532
29050 326.59172023778364746 2707.6141154054121216 70.334310377420038662 0 0 0 -3848.7496633442315215 -2427.4069257359387848
29100 324.76922659588865372 2746.7890863985380747 60.450837318760306971 0 0 0 -3863.163020309481908 -2429.9413428585394286
29150 304.57727853801878837 2829.6402714188925529 64.16057420549930157 0 0 0 -3908.3509274522029955 -2444.9723709680138199
29200 327.28427525704421441 2928.5264454266753091 75.736995317799966188 0 0 0 -4007.9096168056889837 -2447.135762403398985
29250 304.96074112762335062 2822.5649025780071497 70.215018670238322329 0 0 0 -3923.6451425193690739 -2454.5599817325992262
29300 333.24524812741697133 2764.4651631021629328 64.175502414232667547 0 0 0 -3899.7181574261194328 -2434.0144304154682686
29350 316.34085217897666098 2629.0783417723569073 74.038644769998711581 0 0 0 -3787.0555668777155915 -2418.0646003401343478
29400 346.34526454583203758 2743.1547413498728929 78.266707751314896768 0 0 0 -3884.3229235783833246 -2407.1089428655504889
29450 325.01614304822385293 2907.8238703028591772 70.086281452299999728 0 0 0 -3945.3270057177505805 -2400.9736737618363804
29500 348.21814342776360718 2927.6364474774964037 77.688883738872846152 0 0 0 -4009.9899260663091809 -2421.6023054438574036
29550 304.20001102419803374 2810.1803837286902308 69.494802555687385848 0 0 0 -3904.65454328008218 -2436.6189356769200458
29600 330.26818514768297064 2661.4986791889114102 63.767641072255443646 0 0 0 -3825.2672236072421583 -2431.2892745622766597
29650 310.93058570306214961 2636.1915389870982835 69.851697611641029084 0 0 0 -3774.974550576666843 -2406.1597946152132863
29700 322.19207040389272834 2771.6201497434039993 61.976666175571523354 0 0 0 -3843.2945191161220464 -2387.1233522698153138
29750 344.13332258891671245 2868.7566809295049097 63.532053257645898725 0 0 0 -3966.3838146949419752 -2433.3711495281877433
29800 321.49809937611269106 2904.724474023640596 82.208620436540059018 0 0 0 -3994.6713768920708389 -2446.4818496225702802
29850 311.61306009113093296 2802.8719002551242738 82.940120240229845194 0 0 0 -3935.5846720886379444 -2467.6870433243948355
29900 337.25889019718721329 2857.8043224763869148 75.636830920430895731 0 0 0 -3981.7265661735164031 -2463.4181821972197213
29950 304.36433474122225107 2731.89861584579603 68.909536270526970725 0 0 0 -3801.4845276948954051 -2400.4087782780243288
30000 286.6088829217257512 2617.9136300734771794 72.307641283978583147 0 0 0 -3710.969814844888333 -2398.0462775967280322
30050 334.33466903105016854 2682.0377632386052937 69.984512263789909525 0 0 0 -3786.8424654091659249 -2393.8721029414828081
30100 302.01177579817601782 2741.4948897274312003 70.443484054537947259 0 0 0 -3803.9189663604370253 -2405.1690674382471116
30150 302.87122587940746143 2833.2028683714579529 73.210506444574662055 0 0 0 -3892.7413253535323747 -2428.539752986230269
30200 300.10313098140659349 2760.8030602266162532 72.718608946331016796 0 0 0 -3855.6747979740657684 -2443.0609219502375709
30250 333.02309263009607321 2701.8612710312245326 79.805071031949722737 0 0 0 -3829.7972455769149747 -2416.451694690412296
30300 326.51885659980854371 2691.6508930179275012 85.340982687695714048 0 0 0 -3790.5919628593519519 -2388.9497634378940347
30350 314.2502593758514422 2682.3099367801673907 73.094055009146785551 0 0 0 -3725.8093470596045336 -2352.6776728318145615
30400 309.71497782631763585 2667.228347039064829 80.087022309602616588 0 0 0 -3739.3515002961876235 -2384.1768409258061183
30450 300.27158532222756548 2686.8483782363095997 87.163934767006168158 0 0 0 -3769.2217604268080322 -2393.3114638064557766
30500 311.35953686419509268 2644.3270153017811026 79.550519411578989093 0 0 0 -3767.3213418608979737 -2415.808615899230972
30550 298.1990482834818863 2724.3854213480917679 65.69020915575208619 0 0 0 -3812.9057671611294609 -2434.9841286257478714
30600 326.84385692731945028 2799.1298056635550893 70.945391664220920802 0 0 0 -3874.7584530068261301 -2412.2578165088489186
30650 313.66599072719225205 2723.020874814882518 72.538316747936903539 0 0 0 -3810.3852762792839712 -2406.6930214963990693
30700 307.72185988261389866 2708.4931616547710291 78.18387710142040703 0 0 0 -3783.5515682701538935 -2378.8541818893390882
30750 328.59202547946239292 2624.6870630781818363 70.667503868054893701 0 0 0 -3766.3735819816420189 -2394.56943224033148
