#$(time) $(c_WaterMSD[1]) $(c_WaterMSD[2]) $(c_WaterMSD[3]) $(c_WaterMSD[4])
9100 15.511643308548537235 14.672391627337020736 14.886470929669149754 45.07050586555470062
9150 16.201012395720145065 13.63180404527580869 15.170854850812288461 45.003671291808245769
9200 14.194245945660105335 13.817979345102211042 14.907466640377402101 42.919691931139716701
9250 13.73986914955671601 13.643930049559793716 13.871455490258933096 41.255254689375441046
9300 13.964587329790944636 13.90350081088507217 13.838063422441431172 41.706151563117444425
9350 14.261397558036032152 14.304798496459262935 15.543904524985316939 44.110100579480615579
9400 14.111127569761189093 13.49324378864113072 16.906001061876967384 44.510372420279281869
9450 14.177140065474739927 13.30758949362717658 16.084619032609534628 43.56934859171142449
9500 15.075139279551194704 12.666402083749416008 16.382603940734671966 44.124145304035288007
9550 13.768537817134003376 13.167858234527457739 15.659339273982750385 42.595735325644206171
9600 13.914855318222599578 12.932737242438756553 14.494992950526551567 41.342585511187905922
9650 12.683967333632693908 12.729186013052208537 14.664543978448570272 40.077697325133478046
9700 13.810861755302591192 12.548954521394094286 15.465123545918210368 41.824939822614886964
9750 15.224135157564093745 14.598515262620482602 14.840301317815674409 44.662951738000252533
9800 14.979038724337327082 15.036276615574102777 14.951410828194743985 44.966726168106184502
9850 14.911500560600913445 14.139416663587686784 14.218663368538534186 43.269580592727130863
9900 15.123883936023574392 14.953754101261788279 14.586303587126714376 44.663941624412075271
9950 14.056297321400668565 14.613757462585724056 13.960588622872954545 42.630643406859356048
10000 13.999755050357288511 15.535124488762287243 13.407350378714745887 42.942229917834318087
10050 14.756577082570137449 15.743864945598607719 13.773630870185542108 44.274072898354283723
10100 14.908087113474389085 15.525049979630745511 13.861836891179592612 44.294973984284730761
10150 15.290534245897651644 15.387302175725844577 14.114618261947335043 44.79245468357083837
10200 14.772443036590933829 14.917694359408491422 13.498529675958545582 43.18866707195797261
10250 14.618474555045892771 15.032291511005340112 14.063939536498841321 43.71470560255007598
10300 14.489416929590154481 13.992411605876844405 14.805064812821157716 43.286893348288153049
10350 13.566950123191787725 15.482661114764530552 15.271803149075909189 44.321414387032213256
10400 14.174863412714572064 14.668528816400218773 14.924569832924680313 43.76796206203946582
10450 14.255558847939242995 15.762936186108314374 14.934393353339771693 44.952888387387325508
10500 13.703095636154337456 14.717856564481500925 14.50464059864613553 42.925592799281957923
10550 13.472672051311116448 14.957551271439365692 15.05567337832761865 43.485896701078097237
10600 13.468356847260920972 15.112517251227435722 13.768638248641899224 42.349512347130243484
10650 12.672463880151850546 15.384313314321873989 16.084378229877980715 44.141155424351701697
10700 12.700779605302791708 15.732052063894556682 15.707555152749721472 44.140386821947082296
10750 13.548314611749788128 16.598357087772843244 15.938266998087405213 46.084938697610034808
10800 13.237208426491156033 15.564100843333216417 14.915450333491046209 43.716759603315431093
10850 12.154754830292247902 15.944405580810432355 15.938914889627374905 44.038075300730049833
10900 12.539563196031723535 17.298012094824677831 14.810047151282612177 44.647622442139002885
10950 13.060301413735052378 17.216858503620638743 14.522183248309284309 44.799343165664971878
11000 13.122505379422269911 18.180902940348925512 13.815246980246735475 45.118655300017934451
11050 13.589217723638270741 17.404002559370812975 13.955600956324213158 44.94882123933331286
11100 13.991941031612233459 17.835386409447103517 13.401423633375857847 45.228751074435194823
11150 14.313278682563222333 16.714073671875453897 13.234612733595524148 44.261965088034209259
11200 14.423382982110004136 16.665569685625531093 13.417121923869212097 44.506074591604736668
11250 14.417058966078895921 16.207217476880320106 13.255023908663494225 43.879300351622724463
11300 14.213703825069140763 17.049929972738247841 13.508858623853951642 44.77249242166134735
11350 13.634278681546470935 15.601014615770266047 13.648451224627214273 42.883744521943945927
11400 13.443921806094877525 15.895619537121378428 13.934323399223496054 43.273864742439748454
