#$(time) $(c_NaMSD[1]) $(c_NaMSD[2]) $(c_NaMSD[3]) $(c_NaMSD[4])
128.5 8.8288071615468910118e-31 9.2197037863668373791e-33 0 8.9210041994105595908e-31
129 2.6256465040640213868e-33 9.1489193741608555452e-33 0 1.177456587822487659e-32
129.5 2.6055651513443411818e-33 9.0789470162398319217e-33 0 1.1684512167584172761e-32
130 6.9545344881351252589e-31 9.0097743385186405912e-33 0 7.0446322315203118701e-31
130.5 2.9196372903552053979e-33 1.3204242122962050515e-29 0 1.3207161760252404496e-29
131 2.8975607170652434945e-33 6.5195116133967960666e-33 0 9.417072330462039219e-33
131.5 2.8757335953945064663e-33 6.4704005896376368978e-33 0 9.3461341850321437062e-33
132 2.8541521812507656563e-33 1.3100736896452334455e-29 0 1.3103591048633583933e-29
132.5 6.9160468762801042735e-31 4.4262700008192706116e-33 0 6.9603095762882967264e-31
133 3.1741590778691331006e-33 4.3932997617565838473e-33 0 7.5674588396257169479e-33
133.5 3.1506032477283699349e-33 4.3606965366482615788e-33 0 7.5112997843766308295e-33
134 3.1273086640448925046e-33 4.3284548983320274193e-33 0 7.4557635623769199239e-33
134.5 6.8754779594901682612e-31 4.2965695195926637253e-33 0 6.9184436546860948369e-31
135 3.4546784884787000801e-33 4.2650351709613544659e-33 0 7.719713659440054546e-33
135.5 6.828771372383741521e-31 4.2338467185713598798e-33 0 6.8711098395694547845e-31
136 3.7932067076667057001e-33 1.207504835773753579e-29 0 1.2078841564445202442e-29
136.5 6.782899882578021577e-31 6.0083819029064843221e-33 0 6.8429837016070862491e-31
137 4.1423067907005502689e-33 5.9649217786087864482e-33 0 1.0107228569309337401e-32
137.5 9.0079157908801336073e-31 5.9219314914478604775e-33 0 9.0671351057946124037e-31
138 3.684834982464491315e-33 1.3079878068059754014e-29 0 1.3083562903042218049e-29
138.5 3.658467732747340981e-33 4.0537038589998175716e-33 0 7.7121715917471585525e-33
139 3.6323824844998186176e-33 4.0248005368418980137e-33 0 7.6571830213417159471e-33
139.5 3.6065752306174664459e-33 3.9962052416813967782e-33 0 7.6027804722988632241e-33
140 3.581042034917580965e-33 3.9679136120970371562e-33 0 7.5489556470146181212e-33
140.5 3.5557790306382355029e-33 3.9399213635880672799e-33 0 7.4957003942263027828e-33
141 3.530782418974232592e-33 3.9122242869520525667e-33 0 7.4430067059262851587e-33
141.5 3.5060484676489468282e-33 3.8848182467024279532e-33 0 7.3908667143513740971e-33
142 3.4815735095210736091e-33 3.8576991795247295258e-33 0 7.3392726890458031349e-33
142.5 3.4573539412252875168e-33 3.830863092770395045e-33 0 7.288217033995683246e-33
